(0, 0, 60, 61)
(60, 0, 120, 61)
(120, 0, 180, 61)
(180, 0, 240, 61)
(240, 0, 300, 61)
(300, 0, 360, 61)
(360, 0, 420, 61)
(420, 0, 480, 61)
(480, 0, 540, 61)
(540, 0, 600, 61)
(600, 0, 660, 61)
(660, 0, 720, 61)
(720, 0, 780, 61)
(780, 0, 840, 61)
(840, 0, 900, 61)
(900, 0, 960, 61)
(0, 61, 60, 122)
(60, 61, 120, 122)
(120, 61, 180, 122)
(180, 61, 240, 122)
(240, 61, 300, 122)
(300, 61, 360, 122)
(360, 61, 420, 122)
(420, 61, 480, 122)
(480, 61, 540, 122)
(540, 61, 600, 122)
(600, 61, 660, 122)
(660, 61, 720, 122)
(720, 61, 780, 122)
(780, 61, 840, 122)
(840, 61, 900, 122)
(900, 61, 960, 122)
(0, 122, 60, 183)
(60, 122, 120, 183)
(120, 122, 180, 183)
(180, 122, 240, 183)
(240, 122, 300, 183)
(300, 122, 360, 183)
(360, 122, 420, 183)
(420, 122, 480, 183)
(480, 122, 540, 183)
(540, 122, 600, 183)
(600, 122, 660, 183)
(660, 122, 720, 183)
(720, 122, 780, 183)
(780, 122, 840, 183)
(840, 122, 900, 183)
(900, 122, 960, 183)
(0, 183, 60, 244)
(60, 183, 120, 244)
(120, 183, 180, 244)
(180, 183, 240, 244)
(240, 183, 300, 244)
(300, 183, 360, 244)
(360, 183, 420, 244)
(420, 183, 480, 244)
(480, 183, 540, 244)
(540, 183, 600, 244)
(600, 183, 660, 244)
(660, 183, 720, 244)
(720, 183, 780, 244)
(780, 183, 840, 244)
(840, 183, 900, 244)
(900, 183, 960, 244)
(0, 244, 60, 305)
(60, 244, 120, 305)
(120, 244, 180, 305)
(180, 244, 240, 305)
(240, 244, 300, 305)
(300, 244, 360, 305)
(360, 244, 420, 305)
(420, 244, 480, 305)
(480, 244, 540, 305)
(540, 244, 600, 305)
(600, 244, 660, 305)
(660, 244, 720, 305)
(720, 244, 780, 305)
(780, 244, 840, 305)
(840, 244, 900, 305)
(900, 244, 960, 305)
(0, 305, 60, 366)
(60, 305, 120, 366)
(120, 305, 180, 366)
(180, 305, 240, 366)
(240, 305, 300, 366)
(300, 305, 360, 366)
(360, 305, 420, 366)
(420, 305, 480, 366)
(480, 305, 540, 366)
(540, 305, 600, 366)
(600, 305, 660, 366)
(660, 305, 720, 366)
(720, 305, 780, 366)
(780, 305, 840, 366)
(840, 305, 900, 366)
(900, 305, 960, 366)
(0, 366, 60, 427)
(60, 366, 120, 427)
(120, 366, 180, 427)
(180, 366, 240, 427)
(240, 366, 300, 427)
(300, 366, 360, 427)
(360, 366, 420, 427)
(420, 366, 480, 427)
(480, 366, 540, 427)
(540, 366, 600, 427)
(600, 366, 660, 427)
(660, 366, 720, 427)
(720, 366, 780, 427)
(780, 366, 840, 427)
(840, 366, 900, 427)
(900, 366, 960, 427)
